time,female_monkeys_territory_1,male_monkeys_territory_1,adult_monkeys_territory_1,young_monkeys_territory_1,starvation_deaths_territory_1,age_deaths_territory_1,moved_female_monkeys_territory_1,female_monkeys_territory_2,male_monkeys_territory_2,adult_monkeys_territory_2,young_monkeys_territory_2,starvation_deaths_territory_2,age_deaths_territory_2,moved_female_monkeys_territory_2
0,16,9,17,8,0,0,0,16,9,15,10,0,0,0
360,17,9,18,8,0,0,11,16,10,22,4,0,0,11
720,19,11,18,12,0,0,11,19,11,22,8,0,0,11
1080,22,11,20,13,0,0,11,21,12,22,11,0,0,11
1440,23,14,20,17,0,0,13,23,17,23,17,0,0,13
1800,24,14,23,15,0,0,14,23,18,23,18,0,0,13
2160,27,14,23,18,0,2,15,25,18,24,19,0,0,14
2520,29,13,21,21,0,4,15,27,18,22,23,0,2,13
2880,29,16,22,23,0,4,15,28,24,22,30,0,2,13
3240,27,18,20,25,0,6,13,30,25,24,31,0,2,14
3600,32,17,22,27,0,8,13,32,26,27,31,0,3,15
3960,33,20,22,31,0,10,16,34,28,30,32,0,4,19
4320,36,20,25,31,0,12,18,37,31,35,33,0,5,20
4680,39,21,25,35,0,13,18,34,31,34,31,4,6,19
5040,38,23,28,33,0,13,19,36,36,36,36,6,7,21
5400,42,26,31,37,0,14,22,30,33,26,37,23,10,16
5760,41,27,32,36,2,15,20,31,35,29,37,23,11,15
6120,38,26,29,35,6,17,17,30,36,28,38,23,13,14
6480,33,30,29,34,7,20,17,28,36,28,36,36,14,14
6840,34,28,30,32,10,22,16,32,33,29,36,44,15,16
7200,37,29,33,33,10,22,18,31,28,31,28,55,15,15
7560,36,29,35,30,10,22,19,34,30,33,31,56,16,17
7920,39,27,37,29,13,22,19,33,27,31,29,67,16,15
8280,35,24,30,29,24,22,16,37,26,32,31,75,17,18
8640,39,25,33,31,24,23,18,36,28,33,31,77,18,18
9000,31,19,25,25,40,23,14,35,27,32,30,81,18,17
9360,34,18,29,23,43,23,17,28,26,30,24,92,18,14
9720,33,19,26,26,44,27,15,27,19,20,26,113,19,11
10080,36,21,27,30,44,27,15,28,20,21,27,114,19,11
10440,31,20,24,27,48,31,14,31,18,21,28,114,21,11
10800,33,20,27,26,51,31,17,30,20,19,31,118,21,11
11160,36,20,28,28,52,33,19,28,15,17,26,135,21,12
11520,35,22,28,29,53,34,17,30,15,21,24,135,21,14
11880,26,16,19,23,71,35,11,30,14,20,24,138,21,14
12240,29,18,21,26,71,35,12,31,17,20,28,139,21,14
12600,32,19,24,27,73,36,12,33,19,23,29,143,22,15
12960,25,17,23,19,83,36,11,26,16,21,21,154,22,15
13320,27,19,24,22,83,36,12,26,17,19,24,154,24,14
13680,28,19,23,24,83,37,12,28,18,24,22,154,24,15
14040,18,11,15,14,111,37,10,22,18,18,22,168,25,12
14400,19,12,16,15,111,37,10,22,19,17,24,168,26,11
14760,19,12,17,14,111,37,10,21,18,16,23,171,26,11
15120,19,13,20,12,111,37,10,22,18,18,22,171,26,11
15480,21,15,21,15,111,38,9,21,17,17,21,182,27,10
15840,21,15,19,17,111,39,9,21,17,15,23,182,31,8
16200,21,16,20,17,111,39,10,22,16,16,22,185,31,8
16560,21,16,21,16,112,39,11,21,17,17,21,185,31,8
16920,22,17,20,19,119,39,11,23,14,17,20,193,31,10
17280,18,13,15,16,129,41,7,22,14,18,18,194,31,10
17640,18,14,14,18,129,42,7,21,13,16,18,194,33,9
18000,20,14,15,19,129,42,8,20,14,16,18,195,33,9
18360,18,17,19,16,133,43,10,21,15,19,17,198,33,11
18720,15,17,14,18,141,43,8,20,14,18,16,203,35,11
19080,17,16,15,18,141,45,9,18,14,18,14,203,35,11
19440,15,17,15,17,145,45,9,18,14,17,15,204,35,10
19800,18,19,19,18,146,45,11,17,14,18,13,209,36,11
20160,11,12,13,10,163,45,7,17,15,16,16,212,36,10
20520,12,12,14,10,163,45,7,17,15,16,16,212,36,10
20880,14,14,15,13,163,45,8,16,15,17,14,212,36,10
21240,16,11,16,11,165,46,9,16,16,18,14,214,37,9
21600,16,9,13,12,172,46,7,15,14,16,13,219,40,8
21960,15,9,12,12,172,47,7,15,13,16,12,222,40,9
22320,17,10,14,13,172,47,8,15,13,16,12,222,40,9
22680,17,9,13,13,174,47,7,16,15,16,15,223,40,9
23040,18,10,13,15,174,48,6,15,14,15,14,227,41,6
23400,17,10,13,14,174,48,6,13,12,12,13,234,41,5
23760,14,10,13,11,178,48,6,14,7,10,11,240,41,5
24120,16,11,14,13,178,48,7,15,8,12,11,240,41,5
24480,10,9,10,9,189,50,5,18,7,11,14,240,44,7
24840,10,10,11,9,189,50,5,18,7,11,14,241,44,7
25200,9,10,11,8,189,51,4,18,6,10,14,243,44,7
25560,10,12,13,9,189,51,5,17,6,12,11,243,44,7
25920,9,11,8,12,198,51,3,16,6,10,12,246,45,6
26280,9,11,8,12,198,51,3,16,6,9,13,247,46,5
26640,11,10,8,13,198,52,4,14,6,8,12,248,46,4
27000,12,11,10,13,198,52,5,13,6,8,11,248,47,4
27360,11,10,10,11,205,53,6,14,6,10,10,248,47,6
27720,11,9,9,11,207,54,5,13,7,10,10,248,47,6
28080,11,7,8,10,210,54,6,13,7,10,10,249,47,6
28440,11,7,9,9,210,54,6,11,7,8,10,251,47,4
28800,10,5,9,6,218,54,6,11,7,10,8,251,47,5
29160,11,6,9,8,218,54,6,11,7,10,8,251,48,5
29520,12,6,10,8,218,54,7,12,7,9,10,251,48,5
29880,12,6,10,8,219,54,7,11,7,8,10,252,49,4
30240,12,7,10,9,221,54,6,12,7,12,7,252,49,6
30600,11,4,8,7,228,54,5,9,7,8,8,255,50,4
30960,11,4,8,7,228,54,5,10,7,9,8,256,50,4
31320,11,4,8,7,228,54,5,10,6,9,7,258,50,4
31680,10,4,9,5,229,55,6,8,5,7,6,260,51,5
32040,9,2,6,5,231,56,5,9,7,8,8,261,51,5
32400,9,4,6,7,231,56,5,5,6,4,7,268,51,3
32760,9,4,6,7,231,56,5,5,6,4,7,268,51,3
33120,7,4,7,4,231,56,5,7,6,6,7,268,51,5
33480,8,4,7,5,231,56,5,8,5,7,6,269,52,5
33840,10,3,6,7,232,56,5,9,6,8,7,269,52,5
34200,10,2,6,6,233,56,5,7,5,7,5,275,52,4
34560,10,3,6,7,233,56,5,7,5,7,5,275,52,4
34920,9,3,6,6,233,57,5,8,4,6,6,275,54,4
35280,10,4,7,7,233,57,5,8,4,8,4,275,54,4
35640,10,4,7,7,233,57,5,8,4,8,4,275,54,4
36000,11,4,7,8,233,57,5,8,4,8,4,277,54,4
36360,9,4,7,6,233,58,5,9,4,9,4,280,54,5
36720,10,4,9,5,233,58,5,10,3,8,5,281,54,5
37080,9,4,7,6,233,60,4,11,2,8,5,282,54,6
37440,4,4,7,1,239,60,4,10,2,7,5,284,54,5
37800,4,5,6,3,239,61,3,10,4,7,7,285,54,5
38160,4,5,7,2,239,61,3,8,4,5,7,286,55,3
38520,4,5,6,3,240,61,2,7,4,4,7,287,55,2
38880,4,5,6,3,240,61,2,6,3,1,8,291,55,1
39240,6,4,6,4,240,62,3,5,3,2,6,291,55,1
39600,6,1,3,4,244,62,2,5,3,3,5,291,55,1
39960,5,1,2,4,244,63,1,5,3,3,5,291,55,1
40320,5,1,2,4,244,63,1,5,3,3,5,291,55,1
40680,7,1,3,5,244,63,2,5,3,6,2,291,55,2
41040,8,1,3,6,244,63,2,6,4,6,4,291,55,2
41400,7,1,3,5,244,63,2,6,4,6,4,292,55,3
41760,7,1,3,5,244,63,2,6,5,8,3,292,55,3
42120,8,1,5,4,244,63,4,4,2,3,3,298,55,2
42480,6,3,4,5,244,64,3,5,2,4,3,298,55,3
42840,7,2,3,6,245,64,3,7,1,4,4,299,55,3
43200,6,1,2,5,247,64,2,7,1,4,4,299,55,3
43560,5,1,3,3,247,64,2,6,1,4,3,301,55,3
43920,5,1,4,2,247,64,3,7,1,5,3,301,55,4
44280,5,1,4,2,247,64,3,8,1,5,4,301,55,4
44640,5,1,4,2,247,64,3,7,1,4,4,304,55,3
45000,5,1,4,2,247,64,3,7,1,4,4,304,55,3
45360,6,1,5,2,247,64,3,7,1,4,4,305,55,3
45720,6,2,5,3,247,65,4,5,1,4,2,308,55,3
46080,6,2,5,3,247,65,4,5,1,4,2,308,55,3
46440,4,2,3,3,249,65,2,5,1,4,2,308,55,3
46800,4,2,3,3,249,65,2,6,0,3,3,308,56,3
47160,5,2,3,4,249,65,2,5,0,2,3,309,56,2
47520,5,2,3,4,249,65,2,5,0,3,2,309,56,2
47880,5,2,3,4,249,65,2,5,0,3,2,309,56,2
48240,4,1,1,4,252,65,1,4,0,4,0,310,56,3
48600,4,1,3,2,252,65,1,4,0,4,0,310,56,3
48960,5,1,3,3,252,65,2,4,0,4,0,310,56,4
49320,5,1,3,3,252,65,2,4,0,4,0,310,56,4
49680,5,2,3,4,252,65,2,2,0,2,0,310,58,2
50040,3,1,3,1,254,65,2,3,0,3,0,310,58,3
50400,3,1,3,1,254,65,2,3,0,3,0,310,58,3
50760,3,1,2,2,255,65,1,3,0,3,0,310,58,3
51120,2,1,2,1,256,65,1,3,0,3,0,310,58,3
51480,2,1,2,1,256,65,1,3,0,3,0,310,58,3
51840,1,1,1,1,256,66,0,3,0,3,0,310,58,3
52200,1,1,1,1,256,66,0,3,0,3,0,310,58,3
52560,1,1,1,1,256,66,0,3,0,3,0,310,58,3
52920,1,1,1,1,256,66,0,3,0,3,0,310,58,3
53280,1,1,1,1,256,66,0,3,0,3,0,310,58,3
53640,1,1,2,0,256,66,0,3,0,3,0,310,58,3
54000,1,1,2,0,256,66,0,3,0,3,0,310,58,3
