time,female_monkeys_territory_1,male_monkeys_territory_1,adult_monkeys_territory_1,young_monkeys_territory_1,starvation_deaths_territory_1,age_deaths_territory_1,moved_female_monkeys_territory_1,female_monkeys_territory_2,male_monkeys_territory_2,adult_monkeys_territory_2,young_monkeys_territory_2,starvation_deaths_territory_2,age_deaths_territory_2,moved_female_monkeys_territory_2
0,15,10,16,9,0,0,0,16,9,12,13,0,0,0
360,17,11,19,9,0,0,9,15,10,14,11,0,0,8
720,19,13,18,14,0,0,10,16,11,18,9,0,0,10
1080,20,13,18,15,0,0,10,19,13,19,13,0,0,10
1440,20,14,18,16,0,0,10,19,14,20,13,0,0,10
1800,22,16,19,19,0,0,11,22,15,22,15,0,0,10
2160,24,14,20,18,0,4,11,22,15,21,16,0,1,9
2520,26,15,20,21,0,5,13,25,18,20,23,0,2,10
2880,27,16,23,20,0,5,14,23,17,16,24,0,6,8
3240,27,17,23,21,0,5,14,28,18,19,27,0,6,10
3600,28,21,27,22,0,5,14,31,18,21,28,0,6,11
3960,33,23,26,30,0,6,16,34,19,27,26,0,6,15
4320,33,25,25,33,0,8,15,34,18,26,26,0,8,14
4680,37,26,28,35,0,10,16,36,19,28,27,0,9,14
5040,38,28,31,35,0,10,19,37,22,28,31,0,11,15
5400,41,28,34,35,0,13,22,40,27,33,34,0,11,17
5760,43,29,34,38,0,14,22,42,29,35,36,0,11,18
6120,48,30,37,41,0,17,25,45,32,36,41,0,11,20
6480,50,32,42,40,0,18,25,49,34,38,45,0,12,22
6840,53,34,46,41,0,19,27,53,38,41,50,6,14,25
7200,55,35,48,42,1,20,27,55,37,40,52,6,16,26
7560,55,33,48,40,14,20,29,56,37,43,50,16,17,30
7920,55,34,46,43,20,21,26,57,37,46,48,19,17,29
8280,54,38,48,44,30,23,26,50,33,39,44,37,18,23
8640,52,38,50,40,31,24,27,54,33,40,47,38,19,23
9000,47,30,44,33,57,24,26,50,32,35,47,57,20,23
9360,48,32,45,35,58,25,27,49,34,36,47,57,22,22
9720,50,35,44,41,64,26,27,55,36,41,50,57,24,24
10080,51,36,45,42,65,27,27,54,35,39,50,60,25,24
10440,56,38,44,50,68,28,29,54,36,43,47,73,25,26
10800,56,40,43,53,71,30,28,57,36,45,48,74,26,26
11160,46,34,37,43,103,32,23,49,38,39,48,87,27,22
11520,49,34,38,45,103,34,24,46,35,37,44,93,29,21
11880,51,33,38,46,111,36,25,49,35,39,45,104,29,22
12240,51,36,40,47,111,36,25,51,35,40,46,105,31,22
12600,52,38,41,49,118,39,28,54,36,42,48,109,31,24
12960,47,41,42,46,125,39,28,54,38,43,49,109,32,24
13320,45,39,40,44,146,39,26,52,40,45,47,117,33,24
