time,female_monkeys_territory_1,male_monkeys_territory_1,adult_monkeys_territory_1,young_monkeys_territory_1,starvation_deaths_territory_1,age_deaths_territory_1,moved_female_monkeys_territory_1,female_monkeys_territory_2,male_monkeys_territory_2,adult_monkeys_territory_2,young_monkeys_territory_2,starvation_deaths_territory_2,age_deaths_territory_2,moved_female_monkeys_territory_2
0,16,9,17,8,0,0,0,16,9,15,10,0,0,0
360,17,9,18,8,0,0,11,16,10,22,4,0,0,11
720,21,10,18,13,0,0,11,17,12,22,7,0,0,11
1080,23,11,20,14,0,0,11,20,13,22,11,0,0,11
1440,24,12,20,16,0,0,13,22,18,23,17,0,0,13
1800,24,13,22,15,0,0,13,24,19,24,19,0,0,13
2160,27,11,22,16,0,2,14,25,20,25,20,0,0,14
2520,30,11,20,21,0,4,14,26,21,23,24,0,2,13
2880,30,14,21,23,0,4,14,27,25,23,29,0,2,13
3240,27,15,19,23,0,6,13,30,28,25,33,0,2,15
3600,32,14,22,24,0,8,13,32,27,27,32,0,3,16
3960,33,19,21,31,0,10,15,34,29,32,31,0,4,20
4320,35,18,22,31,0,12,17,37,32,37,32,0,5,21
4680,37,20,24,33,0,13,18,38,33,37,34,0,6,21
5040,38,23,25,36,0,13,19,39,37,39,37,0,8,22
5400,42,29,30,41,0,14,21,43,37,39,41,0,11,23
5760,42,32,32,42,0,15,21,45,40,43,42,0,12,23
6120,43,32,32,43,0,17,21,44,42,44,42,0,15,21
6480,44,39,34,49,0,20,20,46,43,45,44,2,16,22
6840,45,40,37,48,3,22,18,47,38,43,42,15,18,24
7200,46,42,37,51,9,22,21,47,37,46,38,21,18,26
7560,44,43,39,48,12,22,21,42,28,38,32,36,20,22
7920,44,45,40,49,16,22,19,49,31,43,37,36,20,24
8280,31,26,29,28,61,23,15,44,36,40,40,43,22,20
8640,35,29,31,33,61,24,16,42,36,40,38,44,23,19
9000,38,31,33,36,61,24,17,43,36,42,37,44,23,19
9360,43,33,41,35,63,24,20,43,35,43,35,49,25,20
9720,46,35,42,39,65,25,22,48,37,46,39,53,27,24
10080,47,35,39,43,69,26,20,47,31,43,35,65,28,25
10440,49,34,39,44,70,27,21,47,28,40,35,65,31,25
10800,54,35,43,46,72,28,25,53,31,45,39,67,31,28
11160,30,18,26,22,128,28,16,23,14,21,16,119,35,10
11520,31,18,24,25,128,31,14,24,13,19,18,119,37,9
11880,31,19,23,27,128,32,13,25,12,19,18,119,38,9
12240,30,19,26,23,128,32,13,29,13,22,20,119,38,12
12600,36,22,30,28,128,32,16,34,17,22,29,119,39,13
12960,36,21,28,29,128,35,17,35,19,24,30,119,41,14
13320,38,22,29,31,128,35,18,38,17,23,32,119,43,15
13680,42,22,32,32,128,35,20,41,20,29,32,119,43,18
14040,45,27,35,37,128,36,21,43,23,32,34,119,45,20
14400,46,29,37,38,130,40,25,46,29,31,44,119,46,23
14760,49,29,38,40,130,42,25,46,29,29,46,121,46,22
15120,37,24,26,35,151,43,15,47,24,29,42,128,47,22
15480,44,29,32,41,151,46,21,45,28,33,40,130,48,23
15840,41,26,30,37,163,47,18,46,26,32,40,139,50,21
16200,44,28,32,40,164,48,20,44,26,31,39,139,52,20
16560,46,31,34,43,165,48,20,47,28,36,39,139,52,22
16920,41,27,32,36,184,49,17,45,25,32,38,152,55,22
17280,49,29,37,41,184,50,21,46,27,35,38,154,56,23
17640,49,27,36,40,189,50,21,46,26,36,36,159,56,23
18000,43,25,32,36,199,51,20,50,28,38,40,159,56,25
18360,45,26,33,38,204,52,21,32,21,28,25,193,59,18
18720,43,27,29,41,206,55,18,38,24,31,31,193,60,19
19080,45,27,29,43,206,56,17,39,24,30,33,193,62,18
19440,46,27,32,41,206,56,17,44,24,31,37,193,62,19
19800,38,29,30,37,219,58,16,39,22,26,35,216,62,16
20160,43,31,34,40,219,58,18,42,23,29,36,216,63,18
20520,39,27,32,34,227,59,17,42,24,30,36,217,63,18
20880,43,30,37,36,228,59,21,41,25,32,34,218,63,20
21240,32,30,33,29,249,59,16,43,23,31,35,229,65,19
21600,36,30,32,34,256,61,14,41,22,27,36,233,67,17
21960,37,30,34,33,260,61,13,41,22,27,36,233,67,17
22320,39,32,33,38,261,62,14,40,22,28,34,234,67,18
22680,41,29,31,39,270,63,15,40,21,30,31,242,69,20
23040,42,26,29,39,277,64,15,43,25,32,36,244,71,22
23400,39,25,27,37,280,66,14,45,25,32,38,245,72,22
23760,41,26,31,36,282,67,15,42,21,28,35,252,72,20
24120,44,30,34,40,285,67,18,42,21,33,30,258,72,21
24480,28,20,25,23,322,68,14,32,19,24,27,283,73,16
24840,28,20,25,23,322,68,14,31,20,22,29,283,75,14
25200,31,22,28,25,322,68,15,32,21,22,31,283,75,14
25560,34,23,28,29,324,69,18,36,22,28,30,283,75,19
25920,39,26,28,37,324,69,19,39,28,34,33,285,76,21
26280,37,22,23,36,332,70,17,38,26,33,31,286,79,19
26640,40,21,27,34,333,70,18,34,25,30,29,294,79,18
27000,40,23,28,35,333,72,18,36,26,31,31,301,80,17
27360,42,24,29,37,335,73,18,37,27,30,34,309,83,16
27720,34,20,23,31,349,74,14,34,26,28,32,314,83,13
28080,36,20,26,30,349,74,15,36,26,30,32,314,83,14
28440,42,22,33,31,349,75,19,38,25,31,32,320,83,17
28800,42,22,32,32,353,77,19,38,23,31,30,335,85,17
29160,37,20,27,30,360,78,16,38,22,31,29,339,85,17
29520,36,20,27,29,364,78,16,38,22,30,30,339,86,18
29880,36,21,26,31,371,78,15,37,20,29,28,349,86,17
30240,38,19,29,28,375,79,18,37,23,31,29,352,88,19
30600,39,19,29,29,375,80,18,36,21,26,31,359,89,16
30960,40,20,29,31,375,80,18,39,21,27,33,360,89,16
31320,34,17,26,25,390,81,17,27,20,20,27,386,90,13
31680,31,20,27,24,390,85,16,32,21,24,29,386,92,16
32040,33,20,27,26,390,85,16,33,23,22,34,386,94,16
32400,32,21,27,26,390,86,15,34,24,23,35,386,94,16
32760,35,25,27,33,393,89,15,29,23,21,31,396,94,15
33120,26,25,21,30,405,89,10,35,25,28,32,396,94,17
33480,29,26,23,32,405,90,11,33,25,24,34,400,95,14
33840,29,25,24,30,408,90,12,29,24,21,32,406,95,13
34200,28,26,26,28,420,90,14,33,26,30,29,407,95,18
34560,32,28,29,31,420,92,15,33,23,30,26,414,95,19
34920,28,25,24,29,428,93,12,33,25,29,29,414,98,17
35280,30,24,26,28,429,93,13,34,25,29,30,414,98,17
35640,29,26,26,29,434,93,12,30,27,32,25,423,99,18
36000,30,20,23,27,447,93,11,30,27,31,26,426,101,17
36360,32,19,22,29,447,95,11,30,26,28,28,429,103,14
36720,32,19,22,29,447,95,11,28,24,27,25,432,104,13
37080,35,21,26,30,448,95,13,29,25,29,25,440,104,14
37440,25,16,20,21,466,95,10,27,24,25,26,453,106,12
37800,27,16,20,23,466,95,10,28,22,26,24,453,108,12
38160,27,17,21,23,466,95,10,28,22,26,24,453,108,12
38520,30,17,25,22,466,96,11,31,24,29,26,453,108,14
38880,30,20,23,27,466,98,12,26,16,24,18,479,108,14
39240,32,22,23,31,466,98,12,26,18,25,19,479,110,14
39600,25,19,20,24,475,99,10,25,18,24,19,479,111,13
39960,26,19,23,22,476,99,12,25,21,25,21,479,111,14
40320,29,20,23,26,476,102,12,26,24,26,24,484,113,14
40680,30,17,20,27,481,104,13,27,22,22,27,490,114,14
41040,30,17,21,26,483,104,13,27,22,22,27,490,114,14
41400,30,19,24,25,483,104,15,27,24,23,28,493,114,16
41760,32,17,25,24,484,107,16,22,23,21,24,508,115,14
42120,28,16,22,22,490,109,14,24,25,22,27,510,116,14
42480,29,18,21,26,490,110,13,25,25,22,28,510,116,14
42840,30,18,22,26,490,110,14,28,24,23,29,511,117,15
43200,31,20,25,26,491,110,16,29,22,24,27,522,117,13
43560,28,20,24,24,496,113,16,29,20,23,26,532,119,13
43920,26,16,23,19,504,113,14,25,21,21,25,536,119,11
44280,25,18,22,21,506,113,13,24,24,21,27,536,120,10
44640,27,17,23,21,506,114,14,25,24,22,27,539,123,9
45000,27,18,23,22,508,116,13,26,26,24,28,540,123,9
45360,26,18,23,21,508,118,12,26,26,25,27,542,123,10
45720,28,19,24,23,508,118,13,25,28,25,28,546,123,10
46080,29,20,27,22,509,119,15,21,24,20,25,560,124,5
46440,28,21,27,22,510,121,13,25,23,23,25,561,124,7
46800,28,22,28,22,510,121,14,26,23,25,24,564,124,9
47160,23,16,19,20,526,122,10,19,17,18,18,579,124,5
47520,22,16,18,20,526,124,10,20,20,20,20,580,125,7
47880,21,17,18,20,526,126,10,21,23,23,21,580,126,8
48240,23,18,20,21,526,126,12,23,22,21,24,580,127,9
48600,24,18,20,22,527,126,12,24,24,24,24,580,127,10
48960,27,21,24,24,527,126,15,22,22,24,20,587,127,11
49320,27,22,25,24,527,128,15,27,24,26,25,587,127,13
49680,26,21,25,22,530,129,15,25,21,23,23,594,129,11
50040,24,16,22,18,540,129,12,22,22,21,23,601,129,10
50400,27,17,24,20,540,129,13,27,22,26,23,602,129,12
50760,29,16,22,23,544,129,12,26,18,22,22,607,132,12
51120,26,16,20,22,547,129,10,22,15,19,18,617,133,8
51480,25,15,18,22,549,130,10,21,15,19,17,622,134,6
51840,26,15,18,23,550,131,9,23,16,19,20,622,134,6
52200,27,18,19,26,550,133,10,24,18,21,21,623,134,8
52560,28,17,20,25,550,134,12,26,18,21,23,623,135,10
52920,30,12,22,20,556,134,14,29,21,24,26,623,135,12
53280,29,12,23,18,556,135,16,24,19,23,20,633,136,12
53640,31,14,26,19,558,135,18,14,13,14,13,659,137,7
54000,30,16,23,23,558,138,15,15,13,16,12,659,137,7
