time,female_monkeys_territory_1,male_monkeys_territory_1,adult_monkeys_territory_1,young_monkeys_territory_1,starvation_deaths_territory_1,age_deaths_territory_1,moved_female_monkeys_territory_1,female_monkeys_territory_2,male_monkeys_territory_2,adult_monkeys_territory_2,young_monkeys_territory_2,starvation_deaths_territory_2,age_deaths_territory_2,moved_female_monkeys_territory_2
0,16,9,17,8,0,0,0,16,9,15,10,0,0,0
360,17,9,19,7,0,0,12,16,9,21,4,0,0,11
720,19,12,19,12,0,0,12,18,9,21,6,0,0,11
1080,22,12,21,13,0,0,12,21,11,21,11,0,0,11
1440,23,16,22,17,0,0,15,23,15,21,17,0,0,13
1800,23,17,24,16,0,0,15,24,15,22,17,0,0,13
2160,26,16,23,19,0,2,15,27,16,24,19,0,0,14
2520,29,16,21,24,0,4,15,28,16,22,22,0,2,13
2880,29,20,22,27,0,4,15,28,22,22,28,0,2,13
3240,27,20,20,27,0,6,14,30,23,23,30,0,2,14
3600,32,21,23,30,0,8,15,32,23,24,31,0,3,16
3960,33,21,25,29,0,10,17,33,27,27,33,0,4,17
4320,38,24,29,33,0,12,20,36,28,31,33,0,5,18
4680,38,24,30,32,0,13,20,38,29,30,37,0,6,18
5040,38,30,34,34,0,13,22,41,31,32,40,0,8,19
5400,42,34,37,39,0,14,24,44,33,33,44,0,11,22
5760,44,39,40,43,0,15,23,45,35,38,42,0,12,21
6120,44,40,38,46,0,17,22,44,35,38,41,0,15,19
6480,45,46,41,50,1,20,22,45,37,39,43,3,16,21
6840,44,44,40,48,11,22,21,51,36,43,44,3,18,23
7200,50,48,45,53,16,22,24,50,36,47,39,5,18,26
7560,51,48,44,55,17,22,24,51,37,50,38,5,20,24
7920,50,41,49,42,38,22,26,49,37,42,44,16,21,21
8280,51,43,55,39,38,23,29,52,45,46,51,18,23,23
8640,50,41,55,36,48,23,27,46,45,45,46,28,24,20
9000,55,40,54,41,49,23,27,43,44,42,45,33,24,18
9360,55,43,54,44,51,24,26,43,41,40,44,52,24,17
9720,53,37,48,42,58,28,23,49,44,45,48,56,25,17
10080,51,39,49,41,64,30,24,51,41,43,49,61,27,21
10440,52,35,42,45,67,36,22,50,35,38,47,69,27,20
10800,56,34,47,43,69,38,27,50,42,41,51,79,27,20
11160,61,36,48,49,69,39,27,49,37,42,44,89,29,19
11520,57,36,48,45,73,42,27,54,39,44,49,93,30,23
11880,57,40,48,49,74,43,27,58,35,43,50,94,34,26
12240,36,35,33,38,116,44,15,53,33,40,46,112,34,23
12600,43,38,38,43,116,45,20,44,35,37,42,112,39,19
12960,46,39,42,43,116,45,22,46,39,40,45,112,40,21
13320,48,37,41,44,116,50,21,49,40,39,50,112,42,22
