GENUS,KCAL_TREE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,LAND_PERC_OG
small1,21.92077,1,1,1,1,1,0,0,0,0,0,0,0,0.10
medium1,31.58002,0,0,1,1,1,1,1,1,1,0,0,0,0.08
large1,41.20294,0,0,0,0,0,0,1,1,1,1,0,0,0.05
small2,21.92077,0,0,1,1,1,1,1,1,1,0,0,0,0.08
medium2,31.58002,0,0,0,0,0,0,1,1,1,1,0,0,0.05
large2,41.20294,1,1,1,1,1,0,0,0,0,0,0,0,0.10
small3,21.92077,0,0,0,0,0,0,1,1,1,1,0,0,0.05
medium3,31.58002,1,1,1,1,1,0,0,0,0,0,0,0,0.10
large3,41.20294,0,0,1,1,1,1,1,1,1,0,0,0,0.09
others,0,1,1,1,1,1,1,1,1,1,1,1,1,0.30

