GENUS,KCAL_TREE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,LAND_PERC_OG
small1,21.92077,1,1,1,1,1,0,0,0,0,0,0,0,0.0844444444444445
medium1,31.58002,0,0,1,1,1,1,1,1,1,0,0,0,0.0644444444444444
large1,41.20294,0,0,0,0,0,0,1,1,1,1,0,0,0.0344444444444444
small2,21.92077,0,0,1,1,1,1,1,1,1,0,0,0,0.0644444444444444
medium2,31.58002,0,0,0,0,0,0,1,1,1,1,0,0,0.0344444444444444
large2,41.20294,1,1,1,1,1,0,0,0,0,0,0,0,0.0844444444444445
small3,21.92077,0,0,0,0,0,0,1,1,1,1,0,0,0.0344444444444444
medium3,31.58002,1,1,1,1,1,0,0,0,0,0,0,0,0.0844444444444445
large3,41.20294,0,0,1,1,1,1,1,1,1,0,0,0,0.0744444444444444
others,0,1,1,1,1,1,1,1,1,1,1,1,1,0.44
